id,fuel,passengers,planesAtThatTime,priority,timeToArrive,timeWaited
AirAsia4,7.0,40,13,2,0,2
AirAsia4,6.0,40,13,2,0,2
Emirates6,19.0,40,12,1,9,5
Emirates6,18.0,40,14,1,8,5
Emirates6,17.0,40,13,1,7,5
Emirates6,16.0,40,14,1,6,5
Emirates6,15.0,40,14,1,5,5
Emirates6,14.0,40,13,1,4,5
Emirates6,13.0,40,14,1,3,5
Emirates6,12.0,40,13,1,2,5
Emirates6,11.0,40,14,1,1,5
Emirates6,10.0,40,14,1,0,5
Emirates6,9.0,40,12,1,0,5
Emirates6,8.0,40,14,1,0,5
Emirates6,7.0,40,14,1,0,5
Emirates6,6.0,40,13,1,0,5
Emirates6,5.0,40,13,1,0,5
AirAsia6,20.0,40,13,4,10,0
AirAsia6,19.0,40,14,4,9,0
AirAsia6,18.0,40,14,4,8,0
AirAsia6,17.0,40,14,4,7,0
AirAsia6,16.0,40,14,4,6,0
AirAsia6,15.0,40,15,4,5,0
AirAsia6,14.0,40,14,4,4,0
AirAsia6,13.0,40,14,4,3,0
AirAsia6,12.0,40,13,4,2,0
AirAsia6,11.0,40,13,4,1,0
AirAsia6,10.0,40,11,4,0,0
EasyGet6,34.0,40,12,1,10,0
EasyGet6,33.0,40,14,1,9,0
EasyGet6,32.0,40,13,1,8,0
EasyGet6,31.0,40,14,1,7,0
EasyGet6,30.0,40,14,1,6,0
EasyGet6,29.0,40,12,1,5,0
EasyGet6,28.0,40,14,1,4,0
EasyGet6,27.0,40,14,1,3,0
EasyGet6,26.0,40,13,1,2,0
EasyGet6,25.0,40,13,1,1,0
EasyGet6,24.0,40,11,1,0,0
TAP6,25.0,40,13,4,10,0
TAP6,24.0,40,14,4,9,0
TAP6,23.0,40,14,4,8,0
TAP6,22.0,40,12,4,7,0
TAP6,21.0,40,14,4,6,0
TAP6,20.0,40,14,4,5,0
TAP6,19.0,40,13,4,4,0
TAP6,18.0,40,13,4,3,0
TAP6,17.0,40,11,4,2,0
TAP6,16.0,40,9,4,1,0
TAP6,15.0,40,11,4,0,0
AmericanAirlines7,28.0,40,12,1,9,0
AmericanAirlines7,27.0,40,13,1,8,0
AmericanAirlines7,26.0,40,12,1,7,0
AmericanAirlines7,25.0,40,14,1,6,0
AmericanAirlines7,24.0,40,13,1,5,0
AmericanAirlines7,23.0,40,13,1,4,0
AmericanAirlines7,22.0,40,13,1,3,0
AmericanAirlines7,21.0,40,11,1,2,0
AmericanAirlines7,20.0,40,9,1,1,0
AmericanAirlines7,19.0,40,10,1,0,0
Emirates7,32.0,40,13,1,10,0
Emirates7,31.0,40,13,1,9,0
Emirates7,30.0,40,12,1,8,0
Emirates7,29.0,40,14,1,7,0
Emirates7,28.0,40,13,1,6,0
Emirates7,27.0,40,13,1,5,0
Emirates7,26.0,40,13,1,4,0
Emirates7,25.0,40,11,1,3,0
Emirates7,24.0,40,9,1,2,0
Emirates7,23.0,40,10,1,1,0
Emirates7,22.0,40,9,1,0,0
Ryanair6,29.0,40,13,4,10,1
Ryanair6,28.0,40,12,4,9,1
Ryanair6,27.0,40,14,4,8,1
Ryanair6,26.0,40,14,4,7,1
Ryanair6,25.0,40,13,4,6,1
Ryanair6,24.0,40,13,4,5,1
Ryanair6,23.0,40,11,4,4,1
Ryanair6,22.0,40,9,4,3,1
Ryanair6,21.0,40,11,4,2,1
Ryanair6,20.0,40,10,4,1,1
Ryanair6,19.0,40,11,4,0,1
Ryanair6,18.0,40,12,4,0,1
Ryanair5,26.0,40,12,4,10,0
Ryanair5,25.0,40,14,4,9,0
Ryanair5,24.0,40,14,4,8,0
Ryanair5,23.0,40,13,4,7,0
Ryanair5,22.0,40,13,4,6,0
Ryanair5,21.0,40,11,4,5,0
Ryanair5,20.0,40,9,4,4,0
Ryanair5,19.0,40,11,4,3,0
Ryanair5,18.0,40,10,4,2,0
Ryanair5,17.0,40,11,4,1,0
Ryanair5,16.0,40,12,4,0,0
AirAsia7,16.0,40,14,4,10,1
AirAsia7,15.0,40,14,4,9,1
AirAsia7,14.0,40,14,4,8,1
AirAsia7,13.0,40,13,4,7,1
AirAsia7,12.0,40,13,4,6,1
AirAsia7,11.0,40,11,4,5,1
AirAsia7,10.0,40,9,4,4,1
AirAsia7,9.0,40,11,4,3,1
AirAsia7,8.0,40,11,4,2,1
AirAsia7,7.0,40,11,4,1,1
AirAsia7,6.0,40,12,4,0,1
AirAsia7,5.0,40,10,4,0,1
SingapureAirlines6,20.0,40,14,4,10,2
SingapureAirlines6,19.0,40,14,4,9,2
SingapureAirlines6,18.0,40,13,4,8,2
SingapureAirlines6,17.0,40,13,4,7,2
SingapureAirlines6,16.0,40,11,4,6,2
SingapureAirlines6,15.0,40,9,4,5,2
SingapureAirlines6,14.0,40,11,4,4,2
SingapureAirlines6,13.0,40,11,4,3,2
SingapureAirlines6,12.0,40,11,4,2,2
SingapureAirlines6,11.0,40,12,4,1,2
SingapureAirlines6,10.0,40,10,4,0,2
SingapureAirlines6,9.0,40,12,4,0,2
SingapureAirlines6,8.0,40,14,4,0,2
Luftansa6,21.0,40,13,2,10,2
Luftansa6,20.0,40,13,2,9,2
Luftansa6,19.0,40,13,2,8,2
Luftansa6,18.0,40,11,2,7,2
Luftansa6,17.0,40,9,2,6,2
Luftansa6,16.0,40,11,2,5,2
Luftansa6,15.0,40,10,2,4,2
Luftansa6,14.0,40,11,2,3,2
Luftansa6,13.0,40,11,2,2,2
Luftansa6,12.0,40,10,2,1,2
Luftansa6,11.0,40,12,2,0,2
Luftansa6,10.0,40,14,2,0,2
Luftansa6,9.0,40,14,2,0,2
EasyGet5,29.0,40,13,1,10,4
EasyGet5,28.0,40,14,1,9,4
EasyGet5,27.0,40,14,1,8,4
EasyGet5,26.0,40,13,1,7,4
EasyGet5,25.0,40,13,1,6,4
EasyGet5,24.0,40,11,1,5,4
EasyGet5,23.0,40,9,1,4,4
EasyGet5,22.0,40,11,1,3,4
EasyGet5,21.0,40,11,1,2,4
EasyGet5,20.0,40,11,1,1,4
EasyGet5,19.0,40,12,1,0,4
EasyGet5,18.0,40,10,1,0,4
EasyGet5,17.0,40,12,1,0,4
EasyGet5,16.0,40,14,1,0,4
